Nation,Olympic,Gold,Silver,Bronze,event_count
Trinidad and Tobago,london-2012,1,1,2,6
Indonesia,london-2012,0,2,1,8
Barbados,london-2012,0,0,0,3
Argentina,london-2012,1,1,2,28
Sri Lanka,london-2012,0,0,0,4
Zambia,london-2012,0,0,0,3
Bermuda,london-2012,0,0,0,5
Cayman Islands,london-2012,0,0,0,2
Egypt,london-2012,0,3,1,21
Swaziland,london-2012,0,0,0,1
Jordan,london-2012,0,0,0,5
Mozambique,london-2012,0,0,0,3
Bangladesh,london-2012,0,0,0,3
Federated States of Micronesia,london-2012,0,0,0,3
Cook Islands,london-2012,0,0,0,5
Burkina Faso,london-2012,0,0,0,2
Congo,london-2012,0,0,0,2
Ivory Coast,london-2012,0,0,0,6
Saint Vincent and the Grenadines,london-2012,0,0,0,1
Marshall Islands,london-2012,0,0,0,1
Nepal,london-2012,0,0,0,2
Cambodia,london-2012,0,0,0,3
Djibouti,london-2012,0,0,0,4
Sudan,london-2012,0,0,0,2
American Samoa,london-2012,0,0,0,3
Rwanda,london-2012,0,0,0,4
Uganda,london-2012,1,0,0,4
Cameroon,london-2012,0,0,1,9
Central African Republic,london-2012,0,0,0,3
Lao People's Democratic Republic,london-2012,0,0,0,1
Ethiopia,london-2012,3,2,2,2
Benin,london-2012,0,0,0,4
Ecuador,london-2012,0,0,0,13
Angola,london-2012,0,0,0,6
The Former Yugoslav Republic of Macedonia,london-2012,0,0,0,1
El Salvador,london-2012,0,0,0,7
Qatar,london-2012,0,0,2,4
Tunisia,london-2012,2,0,1,17
Cyprus,london-2012,0,1,0,7
Mauritius,london-2012,0,0,0,6
Seychelles,london-2012,0,0,0,3
Nicaragua,london-2012,0,0,0,3
Albania,london-2012,0,0,0,4
Dominican Republic,london-2012,1,1,0,10
Costa Rica,london-2012,0,0,0,7
Peru,london-2012,0,0,0,9
Philippines,london-2012,0,0,0,7
Puerto Rico,london-2012,0,1,1,8
Brunei,london-2012,0,0,0,1
Chile,london-2012,0,0,0,18
Liechtenstein,london-2012,0,0,0,3
Malaysia,london-2012,0,1,1,10
Aruba,london-2012,0,0,0,3
Bahamas,london-2012,1,0,0,2
Latvia,london-2012,1,0,1,12
Malta,london-2012,0,0,0,2
Malawi,london-2012,0,0,0,2
Kuwait,london-2012,0,0,1,4
Palau,london-2012,0,0,0,3
Palestine,london-2012,0,0,0,2
Antigua and Barbuda,london-2012,0,0,0,1
Tajikistan,london-2012,0,0,1,7
Mali,london-2012,0,0,0,4
Maldives,london-2012,0,0,0,2
Burundi,london-2012,0,0,0,3
Niger,london-2012,0,0,0,4
Togo,london-2012,0,0,0,5
Lesotho,london-2012,0,0,0,2
Turkmenistan,london-2012,0,0,0,4
India,london-2012,0,2,4,13
Algeria,london-2012,1,0,0,12
US Virgin Islands,london-2012,0,0,0,2
Guatemala,london-2012,0,1,0,11
Bolivia,london-2012,0,0,0,3
Islamic Republic of Iran,london-2012,6,6,1,14
Grenada,london-2012,1,0,0,3
Guyana,london-2012,0,0,0,2
Pakistan,london-2012,0,0,0,3
United Republic of Tanzania,london-2012,0,0,0,3
San Marino,london-2012,0,0,0,3
Comoros,london-2012,0,0,0,1
Vietnam,london-2012,0,0,0,11
Democratic People's Republic of Korea,london-2012,4,0,2,11
Saudi Arabia,london-2012,0,0,1,5
Nigeria,london-2012,0,0,0,8
Namibia,london-2012,0,0,0,6
Gabon,london-2012,0,1,0,4
Montenegro,london-2012,0,1,0,7
Independent Olympic Athletes,london-2012,0,0,0,3
Botswana,london-2012,0,1,0,2
Eritrea,london-2012,0,0,0,2
Haiti,london-2012,0,0,0,2
Saint Kitts and Nevis,london-2012,0,0,0,1
Oman,london-2012,0,0,0,2
Myanmar,london-2012,0,0,0,5
Democratic Republic of Timor-Leste,london-2012,0,0,0,1
Ghana,london-2012,0,0,0,4
Liberia,london-2012,0,0,0,2
Democratic Republic of the Congo,london-2012,0,0,0,3
Samoa,london-2012,0,0,0,5
Bhutan,london-2012,0,0,0,2
Guinea-Bissau,london-2012,0,0,0,1
Afghanistan,london-2012,0,0,1,3
Vanuatu,london-2012,0,0,0,2
Nauru,london-2012,0,0,0,2
Tuvalu,london-2012,0,0,0,1
Kiribati,london-2012,0,0,0,1
Solomon Islands,london-2012,0,0,0,2
Chad,london-2012,0,0,0,1
Belize,london-2012,0,0,0,1
Cape Verde,london-2012,0,0,0,1
Yemen,london-2012,0,0,0,2
Canada,vancouver-2010,14,7,5,15
United States of America,vancouver-2010,9,15,13,15
Russian Federation,vancouver-2010,3,5,7,15
Italy,vancouver-2010,1,1,3,13
France,vancouver-2010,2,3,6,13
Great Britain,vancouver-2010,1,0,0,11
Israel,vancouver-2010,0,0,0,2
Hungary,vancouver-2010,0,0,0,5
Ukraine,vancouver-2010,0,0,0,9
Japan,vancouver-2010,0,3,2,14
Germany,vancouver-2010,10,13,7,15
People's Republic of China,vancouver-2010,5,2,4,10
Czech Republic,vancouver-2010,2,0,4,13
Georgia,vancouver-2010,0,0,0,3
Estonia,vancouver-2010,0,1,0,4
Switzerland,vancouver-2010,6,0,3,14
Kazakhstan,vancouver-2010,0,1,0,8
Spain,vancouver-2010,0,0,0,7
Sweden,vancouver-2010,5,2,4,9
Belgium,vancouver-2010,0,0,0,4
Austria,vancouver-2010,4,6,6,13
Poland,vancouver-2010,1,3,2,11
Republic of Korea,vancouver-2010,6,6,2,12
Finland,vancouver-2010,0,1,4,10
Australia,vancouver-2010,2,1,0,11
Uzbekistan,vancouver-2010,0,0,0,2
Turkey,vancouver-2010,0,0,0,3
Belarus,vancouver-2010,1,1,1,6
Norway,vancouver-2010,9,8,6,11
Slovenia,vancouver-2010,0,2,1,9
Jamaica,vancouver-2010,0,0,0,1
Denmark,vancouver-2010,0,0,0,7
New Zealand,vancouver-2010,0,0,0,8
Romania,vancouver-2010,0,0,0,8
Netherlands,vancouver-2010,4,1,3,4
Democratic People's Republic of Korea,vancouver-2010,0,0,0,1
Latvia,vancouver-2010,0,2,0,9
Monaco,vancouver-2010,0,0,0,2
Slovakia,vancouver-2010,1,1,1,7
Liechtenstein,vancouver-2010,0,0,0,2
Serbia,vancouver-2010,0,0,0,4
Croatia,vancouver-2010,0,2,1,4
Ireland,vancouver-2010,0,0,0,4
Andorra,vancouver-2010,0,0,0,3
Bulgaria,vancouver-2010,0,0,0,6
Argentina,vancouver-2010,0,0,0,3
Chile,vancouver-2010,0,0,0,1
Tajikistan,vancouver-2010,0,0,0,1
Iceland,vancouver-2010,0,0,0,1
Lebanon,vancouver-2010,0,0,0,1
Bosnia and Herzegovina,vancouver-2010,0,0,0,3
Greece,vancouver-2010,0,0,0,3
Cyprus,vancouver-2010,0,0,0,1
Azerbaijan,vancouver-2010,0,0,0,1
Islamic Republic of Iran,vancouver-2010,0,0,0,2
Peru,vancouver-2010,0,0,0,2
Brazil,vancouver-2010,0,0,0,3
Armenia,vancouver-2010,0,0,0,2
Colombia,vancouver-2010,0,0,0,1
Republic of Moldova,vancouver-2010,0,0,0,4
The Former Yugoslav Republic of Macedonia,vancouver-2010,0,0,0,2
Lithuania,vancouver-2010,0,0,0,3
Montenegro,vancouver-2010,0,0,0,1
Albania,vancouver-2010,0,0,0,1
Cayman Islands,vancouver-2010,0,0,0,1
Senegal,vancouver-2010,0,0,0,1
Morocco,vancouver-2010,0,0,0,1
Kyrgyzstan,vancouver-2010,0,0,0,2
Mexico,vancouver-2010,0,0,0,1
Pakistan,vancouver-2010,0,0,0,1
San Marino,vancouver-2010,0,0,0,1
India,vancouver-2010,0,0,0,3
South Africa,vancouver-2010,0,0,0,2
Ghana,vancouver-2010,0,0,0,1
Chinese Taipei,vancouver-2010,0,0,0,1
"Hong Kong, China",vancouver-2010,0,0,0,1
Algeria,vancouver-2010,0,0,0,1
Mongolia,vancouver-2010,0,0,0,1
Bermuda,vancouver-2010,0,0,0,1
Nepal,vancouver-2010,0,0,0,1
Ethiopia,vancouver-2010,0,0,0,1
Portugal,vancouver-2010,0,0,0,1
France,beijing-2008,6,15,20,30
United States of America,beijing-2008,36,39,37,37
New Zealand,beijing-2008,3,2,4,22
Argentina,beijing-2008,2,0,4,21
Australia,beijing-2008,14,15,17,36
Latvia,beijing-2008,1,1,1,12
Colombia,beijing-2008,0,2,1,17
Netherlands,beijing-2008,7,5,4,26
Italy,beijing-2008,8,9,10,33
Republic of Korea,beijing-2008,13,11,8,26
Hungary,beijing-2008,3,5,2,20
Russian Federation,beijing-2008,24,13,23,35
Japan,beijing-2008,9,8,8,35
Germany,beijing-2008,16,11,14,36
People's Republic of China,beijing-2008,48,22,30,40
Romania,beijing-2008,4,1,4,16
Israel,beijing-2008,0,0,1,11
Poland,beijing-2008,4,5,2,26
Venezuela,beijing-2008,0,0,1,21
Cuba,beijing-2008,3,10,17,19
Egypt,beijing-2008,0,0,2,18
Canada,beijing-2008,3,9,8,34
Tunisia,beijing-2008,1,0,0,10
Ukraine,beijing-2008,7,4,11,26
Algeria,beijing-2008,0,1,1,12
Great Britain,beijing-2008,19,13,19,27
Portugal,beijing-2008,1,1,0,15
Peru,beijing-2008,0,0,0,10
Belarus,beijing-2008,3,4,7,26
South Africa,beijing-2008,0,1,0,22
"Hong Kong, China",beijing-2008,0,0,0,11
Spain,beijing-2008,5,11,3,33
Mexico,beijing-2008,2,0,2,23
Senegal,beijing-2008,0,0,0,6
Ireland,beijing-2008,0,1,2,14
Thailand,beijing-2008,2,2,2,12
Brazil,beijing-2008,3,4,10,31
Burkina Faso,beijing-2008,0,0,0,3
Austria,beijing-2008,0,1,2,18
Morocco,beijing-2008,0,1,1,7
Qatar,beijing-2008,0,0,0,6
Sweden,beijing-2008,0,4,1,23
Switzerland,beijing-2008,2,1,3,24
Panama,beijing-2008,1,0,0,3
Estonia,beijing-2008,1,1,0,13
Chile,beijing-2008,0,1,0,17
Norway,beijing-2008,3,5,1,16
Kyrgyzstan,beijing-2008,0,1,2,9
Denmark,beijing-2008,2,2,3,16
Belgium,beijing-2008,2,0,0,18
Czech Republic,beijing-2008,3,3,1,24
Kazakhstan,beijing-2008,2,3,4,19
Luxembourg,beijing-2008,0,0,0,6
Zimbabwe,beijing-2008,1,3,0,5
Syrian Arab Republic,beijing-2008,0,0,0,5
Slovakia,beijing-2008,3,3,0,15
Greece,beijing-2008,0,2,1,22
Bermuda,beijing-2008,0,0,0,3
India,beijing-2008,1,0,2,12
Chinese Taipei,beijing-2008,1,1,2,15
Malaysia,beijing-2008,0,1,0,10
Turkey,beijing-2008,1,1,3,11
Finland,beijing-2008,1,1,2,14
Myanmar,beijing-2008,0,0,0,3
Philippines,beijing-2008,0,0,0,7
Bulgaria,beijing-2008,1,1,3,16
Bhutan,beijing-2008,0,0,0,1
Islamic Republic of Iran,beijing-2008,1,0,1,13
Samoa,beijing-2008,0,1,0,3
Democratic People's Republic of Korea,beijing-2008,2,2,2,12
Georgia,beijing-2008,3,2,2,9
Indonesia,beijing-2008,1,1,4,6
Cyprus,beijing-2008,0,0,0,6
Tajikistan,beijing-2008,0,1,1,8
Mauritius,beijing-2008,0,0,1,7
Pakistan,beijing-2008,0,0,0,3
Lithuania,beijing-2008,0,3,2,15
Slovenia,beijing-2008,1,2,2,14
Namibia,beijing-2008,0,0,0,4
Croatia,beijing-2008,0,2,3,16
Uzbekistan,beijing-2008,0,1,3,14
Serbia,beijing-2008,0,1,2,11
Republic of Moldova,beijing-2008,0,0,1,9
Costa Rica,beijing-2008,0,0,0,4
El Salvador,beijing-2008,0,0,0,10
Libya,beijing-2008,0,0,0,5
Bolivia,beijing-2008,0,0,0,5
Montenegro,beijing-2008,0,0,0,6
Kenya,beijing-2008,6,4,6,5
Vietnam,beijing-2008,0,1,0,7
Papua New Guinea,beijing-2008,0,0,0,4
Afghanistan,beijing-2008,0,0,1,1
Nigeria,beijing-2008,0,2,3,10
Dominican Republic,beijing-2008,1,1,0,8
Belize,beijing-2008,0,0,0,1
Benin,beijing-2008,0,0,0,2
Puerto Rico,beijing-2008,0,0,0,7
United Arab Emirates,beijing-2008,0,0,0,6
Guinea,beijing-2008,0,0,0,2
Azerbaijan,beijing-2008,1,1,4,9
Nepal,beijing-2008,0,0,0,6
Ivory Coast,beijing-2008,0,0,0,3
Gabon,beijing-2008,0,0,0,2
Honduras,beijing-2008,0,0,0,4
Marshall Islands,beijing-2008,0,0,0,2
Mali,beijing-2008,0,0,0,3
Niger,beijing-2008,0,0,0,2
Ecuador,beijing-2008,0,1,0,8
Jordan,beijing-2008,0,0,0,4
Uruguay,beijing-2008,0,0,0,5
Monaco,beijing-2008,0,0,0,4
Cameroon,beijing-2008,1,0,0,9
Iraq,beijing-2008,0,0,0,1
Zambia,beijing-2008,0,0,0,3
Guatemala,beijing-2008,0,0,0,9
Sri Lanka,beijing-2008,0,0,0,5
Ethiopia,beijing-2008,4,2,1,2
Armenia,beijing-2008,0,1,4,6
Madagascar,beijing-2008,0,0,0,3
Mongolia,beijing-2008,2,2,0,7
Ghana,beijing-2008,0,0,0,2
Sierra Leone,beijing-2008,0,0,0,1
Uganda,beijing-2008,0,0,0,4
Botswana,beijing-2008,0,0,0,3
Bahamas,beijing-2008,0,1,1,4
US Virgin Islands,beijing-2008,0,0,0,4
Grenada,beijing-2008,0,0,0,1
Central African Republic,beijing-2008,0,0,0,1
Turkmenistan,beijing-2008,0,0,0,5
Lesotho,beijing-2008,0,0,0,2
Haiti,beijing-2008,0,0,0,2
Democratic Republic of the Congo,beijing-2008,0,0,0,3
Gambia,beijing-2008,0,0,0,1
Palau,beijing-2008,0,0,0,2
Guam,beijing-2008,0,0,0,3
The Former Yugoslav Republic of Macedonia,beijing-2008,0,0,0,4
Albania,beijing-2008,0,0,0,5
Guinea-Bissau,beijing-2008,0,0,0,1
Iceland,beijing-2008,0,1,0,4
Angola,beijing-2008,0,0,0,5
Jamaica,beijing-2008,5,4,1,4
Bahrain,beijing-2008,0,0,0,3
Eritrea,beijing-2008,0,0,0,1
Cape Verde,beijing-2008,0,0,0,1
United Republic of Tanzania,beijing-2008,0,0,0,2
Andorra,beijing-2008,0,0,0,4
Burundi,beijing-2008,0,0,0,2
Cambodia,beijing-2008,0,0,0,2
Liechtenstein,beijing-2008,0,0,0,2
Democratic Republic of Timor-Leste,beijing-2008,0,0,0,1
Liberia,beijing-2008,0,0,0,1
Sudan,beijing-2008,0,1,0,2
Rwanda,beijing-2008,0,0,0,2
Saudi Arabia,beijing-2008,0,0,0,4
Saint Kitts and Nevis,beijing-2008,0,0,0,1
Trinidad and Tobago,beijing-2008,1,1,0,4
Netherlands Antilles,beijing-2008,0,0,0,3
Cayman Islands,beijing-2008,0,0,0,2
Bosnia and Herzegovina,beijing-2008,0,0,0,4
Mozambique,beijing-2008,0,0,0,3
Yemen,beijing-2008,0,0,0,2
Togo,beijing-2008,0,0,1,3
Equatorial Guinea,beijing-2008,0,0,0,1
Aruba,beijing-2008,0,0,0,2
Fiji,beijing-2008,0,0,0,4
Kuwait,beijing-2008,0,0,0,4
Lebanon,beijing-2008,0,0,0,3
American Samoa,beijing-2008,0,0,0,2
Malta,beijing-2008,0,0,0,3
Kiribati,beijing-2008,0,0,0,1
Seychelles,beijing-2008,0,0,0,4
Nicaragua,beijing-2008,0,0,0,3
Nauru,beijing-2008,0,0,0,1
Cook Islands,beijing-2008,0,0,0,2
Tonga,beijing-2008,0,0,0,1
Tuvalu,beijing-2008,0,0,0,1
Federated States of Micronesia,beijing-2008,0,0,0,2
Solomon Islands,beijing-2008,0,0,0,1
Singapore,beijing-2008,0,1,0,5
Barbados,beijing-2008,0,0,0,2
Paraguay,beijing-2008,0,0,0,4
Bangladesh,beijing-2008,0,0,0,2
San Marino,beijing-2008,0,0,0,2
Oman,beijing-2008,0,0,0,2
Congo,beijing-2008,0,0,0,2
Vanuatu,beijing-2008,0,0,0,1
Swaziland,beijing-2008,0,0,0,1
Guyana,beijing-2008,0,0,0,1
Palestine,beijing-2008,0,0,0,1
Malawi,beijing-2008,0,0,0,1
Maldives,beijing-2008,0,0,0,1
Lao People's Democratic Republic,beijing-2008,0,0,0,1
Comoros,beijing-2008,0,0,0,1
Antigua and Barbuda,beijing-2008,0,0,0,1
Suriname,beijing-2008,0,0,0,1
Saint Lucia,beijing-2008,0,0,0,1
Germany,turin-2006,11,12,6,15
Poland,turin-2006,0,1,1,11
Norway,turin-2006,2,8,9,10
Finland,turin-2006,0,6,3,11
Russian Federation,turin-2006,8,6,8,15
Austria,turin-2006,9,7,7,12
France,turin-2006,3,2,4,10
United States of America,turin-2006,9,9,7,15
Sweden,turin-2006,7,2,5,9
Czech Republic,turin-2006,1,2,1,13
Italy,turin-2006,5,0,6,15
Slovakia,turin-2006,0,1,0,8
Latvia,turin-2006,0,0,1,8
Japan,turin-2006,1,0,0,14
Belarus,turin-2006,0,1,0,7
People's Republic of China,turin-2006,2,4,5,9
Bulgaria,turin-2006,0,1,0,7
Ukraine,turin-2006,0,0,2,8
Slovenia,turin-2006,0,0,0,8
Republic of Moldova,turin-2006,0,0,0,3
Romania,turin-2006,0,0,0,8
Canada,turin-2006,7,10,7,15
Kazakhstan,turin-2006,0,0,0,7
Lithuania,turin-2006,0,0,0,4
Estonia,turin-2006,3,0,0,6
Bosnia and Herzegovina,turin-2006,0,0,0,3
Great Britain,turin-2006,0,1,0,9
Croatia,turin-2006,1,2,0,6
Hungary,turin-2006,0,0,0,6
Chile,turin-2006,0,0,0,2
Switzerland,turin-2006,5,4,5,13
Republic of Korea,turin-2006,6,3,2,9
Australia,turin-2006,1,0,1,9
Spain,turin-2006,0,0,0,5
Greece,turin-2006,0,0,0,3
Serbia and Montenegro,turin-2006,0,0,0,3
Argentina,turin-2006,0,0,0,5
Turkey,turin-2006,0,0,0,3
Brazil,turin-2006,0,0,0,4
Mongolia,turin-2006,0,0,0,1
Liechtenstein,turin-2006,0,0,0,2
Andorra,turin-2006,0,0,0,2
South Africa,turin-2006,0,0,0,3
Algeria,turin-2006,0,0,0,2
Armenia,turin-2006,0,0,0,3
India,turin-2006,0,0,0,3
Ethiopia,turin-2006,0,0,0,1
The Former Yugoslav Republic of Macedonia,turin-2006,0,0,0,2
Ireland,turin-2006,0,0,0,3
Islamic Republic of Iran,turin-2006,0,0,0,2
Kenya,turin-2006,0,0,0,1
Portugal,turin-2006,0,0,0,1
Nepal,turin-2006,0,0,0,1
Costa Rica,turin-2006,0,0,0,1
Thailand,turin-2006,0,0,0,1
Iceland,turin-2006,0,0,0,1
Monaco,turin-2006,0,0,0,2
Lebanon,turin-2006,0,0,0,2
New Zealand,turin-2006,0,0,0,5
Georgia,turin-2006,0,0,0,2
Israel,turin-2006,0,0,0,2
Cyprus,turin-2006,0,0,0,1
Uzbekistan,turin-2006,0,0,0,2
Senegal,turin-2006,0,0,0,1
Madagascar,turin-2006,0,0,0,1
Albania,turin-2006,0,0,0,1
Kyrgyzstan,turin-2006,0,0,0,1
Tajikistan,turin-2006,0,0,0,1
San Marino,turin-2006,0,0,0,1
Chinese Taipei,turin-2006,0,0,0,1
Venezuela,turin-2006,0,0,0,1
Netherlands,turin-2006,3,2,4,4
Belgium,turin-2006,0,0,0,3
Luxembourg,turin-2006,0,0,0,1
Democratic People's Republic of Korea,turin-2006,0,0,0,2
Azerbaijan,turin-2006,0,0,0,1
Bermuda,turin-2006,0,0,0,1
"Hong Kong, China",turin-2006,0,0,0,1
Denmark,turin-2006,0,0,0,1
Denmark,athens-2004,2,1,5,16
Australia,athens-2004,17,16,17,36
Italy,athens-2004,10,11,11,33
Netherlands,athens-2004,4,9,9,24
Canada,athens-2004,3,6,3,33
Ireland,athens-2004,0,0,0,12
Serbia and Montenegro,athens-2004,0,2,0,12
Russian Federation,athens-2004,28,26,36,32
United States of America,athens-2004,36,39,26,33
Austria,athens-2004,2,4,1,21
Germany,athens-2004,13,16,20,33
Spain,athens-2004,3,11,6,30
Great Britain,athens-2004,9,9,12,28
Croatia,athens-2004,1,2,2,14
South Africa,athens-2004,1,3,2,16
New Zealand,athens-2004,3,2,0,21
Slovenia,athens-2004,0,1,3,10
Argentina,athens-2004,2,0,4,22
Belarus,athens-2004,2,5,6,23
Bulgaria,athens-2004,2,1,9,20
Czech Republic,athens-2004,1,3,5,20
Sweden,athens-2004,4,2,1,21
Chile,athens-2004,2,0,1,11
Mexico,athens-2004,0,3,1,19
People's Republic of China,athens-2004,32,17,14,34
Brazil,athens-2004,5,2,3,27
Switzerland,athens-2004,1,1,3,21
Indonesia,athens-2004,1,1,2,11
Chinese Taipei,athens-2004,2,2,1,13
Tunisia,athens-2004,0,0,0,14
Republic of Korea,athens-2004,9,12,9,26
Paraguay,athens-2004,0,1,0,3
Thailand,athens-2004,3,1,4,13
Uzbekistan,athens-2004,2,1,2,10
Egypt,athens-2004,1,1,3,15
Poland,athens-2004,3,2,5,24
Romania,athens-2004,8,5,6,16
France,athens-2004,11,9,13,32
Estonia,athens-2004,0,1,2,11
Norway,athens-2004,5,0,1,13
Cuba,athens-2004,9,7,11,18
Hungary,athens-2004,8,6,3,20
Greece,athens-2004,6,6,4,35
Japan,athens-2004,16,9,12,32
Slovakia,athens-2004,2,2,2,15
Belgium,athens-2004,1,0,2,17
Uruguay,athens-2004,0,0,0,4
"Hong Kong, China",athens-2004,0,1,0,10
Peru,athens-2004,0,0,0,9
Algeria,athens-2004,0,0,0,10
Kenya,athens-2004,1,4,2,4
India,athens-2004,0,1,0,13
Ukraine,athens-2004,8,5,9,25
Vietnam,athens-2004,0,0,0,6
Nigeria,athens-2004,0,0,2,9
Lithuania,athens-2004,1,2,0,12
Puerto Rico,athens-2004,0,0,0,14
Angola,athens-2004,0,0,0,4
Turkey,athens-2004,3,3,4,10
Dominican Republic,athens-2004,1,0,0,8
Jamaica,athens-2004,2,1,2,4
Panama,athens-2004,0,0,0,2
Qatar,athens-2004,0,0,0,4
Morocco,athens-2004,2,1,0,8
Equatorial Guinea,athens-2004,0,0,0,1
Kazakhstan,athens-2004,1,4,3,17
Portugal,athens-2004,0,2,1,16
Ethiopia,athens-2004,2,3,2,2
Israel,athens-2004,1,0,1,13
Finland,athens-2004,0,2,0,11
Botswana,athens-2004,0,0,0,2
Sri Lanka,athens-2004,0,0,0,3
Burundi,athens-2004,0,0,0,2
Democratic People's Republic of Korea,athens-2004,0,4,1,9
Libya,athens-2004,0,0,0,4
United Republic of Tanzania,athens-2004,0,0,0,1
Colombia,athens-2004,0,0,2,15
Central African Republic,athens-2004,0,0,0,2
Zimbabwe,athens-2004,1,1,1,4
Andorra,athens-2004,0,0,0,3
Ecuador,athens-2004,0,0,0,6
Rwanda,athens-2004,0,0,0,2
Guatemala,athens-2004,0,0,0,8
Philippines,athens-2004,0,0,0,6
Lesotho,athens-2004,0,0,0,2
Mongolia,athens-2004,0,0,1,7
Cape Verde,athens-2004,0,0,0,2
Kyrgyzstan,athens-2004,0,0,0,8
Saint Lucia,athens-2004,0,0,0,2
Bahrain,athens-2004,0,0,0,4
Venezuela,athens-2004,0,0,2,16
Democratic Republic of Timor-Leste,athens-2004,0,0,0,1
Bahamas,athens-2004,1,0,1,3
Sudan,athens-2004,0,0,0,1
Cameroon,athens-2004,1,0,0,4
Senegal,athens-2004,0,0,0,5
Latvia,athens-2004,0,4,0,10
Republic of Moldova,athens-2004,0,0,0,8
Trinidad and Tobago,athens-2004,0,0,1,4
Grenada,athens-2004,0,0,0,2
Malaysia,athens-2004,0,0,0,11
Bolivia,athens-2004,0,0,0,3
Mauritius,athens-2004,0,0,0,5
Sao Tome and Principe,athens-2004,0,0,0,1
Madagascar,athens-2004,0,0,0,4
Tajikistan,athens-2004,0,0,0,5
Azerbaijan,athens-2004,1,0,4,9
Ghana,athens-2004,0,0,0,2
Eritrea,athens-2004,0,0,1,1
Uganda,athens-2004,0,0,0,4
Iceland,athens-2004,0,0,0,5
Mozambique,athens-2004,0,0,0,2
Saint Kitts and Nevis,athens-2004,0,0,0,1
Barbados,athens-2004,0,0,0,4
Chad,athens-2004,0,0,0,1
Namibia,athens-2004,0,0,0,5
Saudi Arabia,athens-2004,0,0,0,6
Luxembourg,athens-2004,0,0,0,5
Islamic Republic of Iran,athens-2004,2,2,2,10
El Salvador,athens-2004,0,0,0,6
Bermuda,athens-2004,0,0,0,5
Netherlands Antilles,athens-2004,0,0,0,1
Singapore,athens-2004,0,0,0,5
Jordan,athens-2004,0,0,0,4
Honduras,athens-2004,0,0,0,2
Bosnia and Herzegovina,athens-2004,0,0,0,6
Democratic Republic of the Congo,athens-2004,0,0,0,1
Georgia,athens-2004,2,2,0,8
Albania,athens-2004,0,0,0,3
Palau,athens-2004,0,0,0,2
Guinea-Bissau,athens-2004,0,0,0,1
Armenia,athens-2004,0,0,0,6
The Former Yugoslav Republic of Macedonia,athens-2004,0,0,0,4
Guam,athens-2004,0,0,0,2
Afghanistan,athens-2004,0,0,0,2
Yemen,athens-2004,0,0,0,2
Nepal,athens-2004,0,0,0,3
Iraq,athens-2004,0,0,0,5
Ivory Coast,athens-2004,0,0,0,2
Costa Rica,athens-2004,0,0,0,5
Haiti,athens-2004,0,0,0,2
Seychelles,athens-2004,0,0,0,4
Papua New Guinea,athens-2004,0,0,0,2
Suriname,athens-2004,0,0,0,1
Aruba,athens-2004,0,0,0,2
Nicaragua,athens-2004,0,0,0,2
Palestine,athens-2004,0,0,0,1
Syrian Arab Republic,athens-2004,0,0,1,3
Fiji,athens-2004,0,0,0,4
US Virgin Islands,athens-2004,0,0,0,3
Cyprus,athens-2004,0,0,0,5
Lebanon,athens-2004,0,0,0,2
Benin,athens-2004,0,0,0,1
Congo,athens-2004,0,0,0,2
Bangladesh,athens-2004,0,0,0,2
Federated States of Micronesia,athens-2004,0,0,0,2
Niger,athens-2004,0,0,0,1
Cambodia,athens-2004,0,0,0,1
Turkmenistan,athens-2004,0,0,0,4
Maldives,athens-2004,0,0,0,1
Saint Vincent and the Grenadines,athens-2004,0,0,0,1
Guinea,athens-2004,0,0,0,1
Lao People's Democratic Republic,athens-2004,0,0,0,2
Mali,athens-2004,0,0,0,2
Burkina Faso,athens-2004,0,0,0,1
Antigua and Barbuda,athens-2004,0,0,0,1
Malawi,athens-2004,0,0,0,1
Cayman Islands,athens-2004,0,0,0,1
San Marino,athens-2004,0,0,0,2
Malta,athens-2004,0,0,0,3
Swaziland,athens-2004,0,0,0,1
Zambia,athens-2004,0,0,0,2
United Arab Emirates,athens-2004,1,0,0,2
Guyana,athens-2004,0,0,0,2
Monaco,athens-2004,0,0,0,2
Pakistan,athens-2004,0,0,0,4
Nauru,athens-2004,0,0,0,1
Myanmar,athens-2004,0,0,0,2
Kiribati,athens-2004,0,0,0,1
Comoros,athens-2004,0,0,0,1
Samoa,athens-2004,0,0,0,1
Cook Islands,athens-2004,0,0,0,1
American Samoa,athens-2004,0,0,0,1
Bhutan,athens-2004,0,0,0,1
Tonga,athens-2004,0,0,0,2
Liechtenstein,athens-2004,0,0,0,1
Kuwait,athens-2004,0,0,0,1
Oman,athens-2004,0,0,0,1
Togo,athens-2004,0,0,0,1
Gabon,athens-2004,0,0,0,1
Switzerland,salt-lake-city-2002,3,2,6,13
Poland,salt-lake-city-2002,0,1,1,9
Finland,salt-lake-city-2002,4,2,1,11
Germany,salt-lake-city-2002,12,16,8,14
Austria,salt-lake-city-2002,3,4,10,12
Japan,salt-lake-city-2002,0,1,1,14
Slovenia,salt-lake-city-2002,0,0,1,8
Russian Federation,salt-lake-city-2002,5,4,4,15
